transformador_id,lat,lon,region,densidad_poblacional,temperatura_actual,dias_desde_mantenimiento,antiguedad_anios,capacidad_kva,hogares_estimados,carga_estimada_kw,porcentaje_carga,fallas_ultimos_12_meses,riesgo_score_simulado,riesgo_clase,requiere_revision,riesgo_predicho,probabilidad_alto,probabilidad_bajo,probabilidad_medio,probabilidad_maxima
TR-00304,-34.900325305528,-58.4544236466007,Provincia,9462.0,32.3,160,17,630,157,297.9,0.514,0,0.225,Bajo,0,Bajo,0.0251,0.8907,0.0842,0.8907
TR-00305,-34.7511621119448,-58.261474033443,Provincia,6447.0,34.9,294,18,500,123,237.7,0.517,0,0.283,Bajo,0,Bajo,0.0291,0.5909,0.38,0.5909
TR-00306,-34.7518059663701,-58.2637896360849,Provincia,500.0,32.1,465,19,400,12,18.9,0.051,1,0.346,Medio,1,Medio,0.0098,0.1037,0.8864,0.8864
TR-00307,-34.8360686866277,-58.3968692235485,Provincia,4211.0,39.9,187,4,315,48,90.0,0.311,0,0.29,Bajo,0,Bajo,0.0448,0.7923,0.1629,0.7923
TR-00308,-34.8202229209352,-58.3640043735378,Provincia,10899.0,33.7,186,17,400,157,183.7,0.499,2,0.26,Bajo,0,Bajo,0.0478,0.7068,0.2454,0.7068
TR-00309,-34.8049239351783,-58.2980925292818,Provincia,500.0,37.8,225,7,400,55,109.0,0.296,2,0.3,Bajo,0,Bajo,0.1115,0.6172,0.2713,0.6172
TR-00310,-34.9384094883555,-58.6903694314342,Provincia,6157.0,34.5,253,10,315,62,101.1,0.349,0,0.212,Bajo,0,Bajo,0.0354,0.8241,0.1405,0.8241
TR-00311,-34.6887804501737,-58.2713687967072,Provincia,3660.0,36.3,371,29,400,55,88.1,0.239,3,0.483,Alto,1,Alto,0.5108,0.035,0.4542,0.5108
TR-00312,-34.8356333444862,-58.3793276625099,Provincia,9614.0,34.6,303,12,630,158,182.3,0.315,1,0.327,Medio,1,Medio,0.0036,0.0746,0.9219,0.9219
TR-00313,-34.8316553807454,-58.4022912707488,Provincia,5175.0,38.1,224,9,400,92,166.9,0.454,2,0.361,Medio,1,Medio,0.0675,0.4573,0.4752,0.4752
TR-00314,-34.8204521525149,-58.2741146156416,Provincia,8412.0,33.9,281,22,160,165,247.9,1.684,0,0.404,Medio,1,Medio,0.1826,0.0887,0.7286,0.7286
TR-00315,-34.9223896612321,-58.664559964517,Provincia,8896.0,35.3,499,7,315,100,139.0,0.48,2,0.418,Medio,1,Medio,0.1648,0.0778,0.7574,0.7574
TR-00316,-34.8288823444309,-58.4043434590453,Provincia,12709.0,34.9,327,11,315,239,379.1,1.308,1,0.373,Medio,1,Medio,0.2992,0.063,0.6378,0.6378
TR-00317,-34.7505938814491,-58.238645681973,Provincia,6591.0,32.8,236,23,630,69,103.4,0.178,0,0.255,Bajo,0,Bajo,0.0002,0.9333,0.0665,0.9333
TR-00318,-35.0386928384753,-58.7358100980153,Provincia,8328.0,35.0,221,14,400,77,103.4,0.281,0,0.264,Bajo,0,Bajo,0.0342,0.8248,0.1411,0.8248
TR-00319,-34.7751747307764,-58.2391661194063,Provincia,2745.0,40.9,273,3,315,60,92.4,0.319,1,0.341,Medio,1,Medio,0.0538,0.337,0.6092,0.6092
TR-00320,-34.821758169929,-58.3668573450592,Provincia,10771.0,32.8,369,18,630,129,128.7,0.222,1,0.31,Medio,1,Medio,0.0078,0.0475,0.9447,0.9447
TR-00321,-34.6808820389488,-58.3241650606854,CABA,17238.0,35.8,226,11,160,233,425.3,2.889,2,0.614,Alto,1,Alto,0.9259,0.0129,0.0613,0.9259
TR-00322,-34.731549805301,-58.2813387749151,Provincia,5518.0,37.7,347,25,250,93,152.2,0.662,0,0.403,Medio,1,Medio,0.117,0.0461,0.8369,0.8369
TR-00323,-34.7424813433649,-58.3240299658174,Provincia,7133.0,37.3,233,10,630,109,182.0,0.314,0,0.229,Bajo,0,Bajo,0.0115,0.7341,0.2544,0.7341
TR-00324,-34.8285992322998,-58.2070789337075,Provincia,2511.0,33.7,249,21,400,38,48.1,0.131,0,0.265,Bajo,0,Bajo,0.0195,0.9081,0.0724,0.9081
TR-00325,-34.9594020937217,-58.6906596185455,Provincia,7886.0,26.1,674,26,630,134,196.3,0.339,1,0.346,Medio,1,Medio,0.0365,0.1054,0.8582,0.8582
TR-00326,-34.9203298493409,-58.6967454564622,Provincia,10102.0,35.4,331,8,630,141,206.3,0.356,0,0.283,Medio,1,Medio,0.017,0.079,0.904,0.904
TR-00327,-34.7911983522823,-58.4161468550777,Provincia,8079.0,26.6,194,13,800,153,282.8,0.384,1,0.201,Bajo,0,Bajo,0.013,0.8669,0.1201,0.8669
TR-00328,-34.8277442309439,-58.3778978311593,Provincia,2433.0,38.4,295,17,160,53,126.6,0.86,0,0.379,Medio,1,Medio,0.1121,0.1895,0.6985,0.6985
TR-00329,-34.926091220963,-58.6430090535797,Provincia,6829.0,34.2,377,8,630,86,124.7,0.215,0,0.282,Medio,1,Medio,0.0015,0.0609,0.9376,0.9376
TR-00330,-34.8356554904301,-58.3873914181529,Provincia,9426.0,36.9,333,16,500,99,102.0,0.222,0,0.302,Medio,1,Medio,0.0234,0.0787,0.8979,0.8979
TR-00331,-34.7377326599884,-58.2780780358411,Provincia,1566.0,30.8,79,12,250,43,77.0,0.335,0,0.125,Bajo,0,Bajo,0.0294,0.9058,0.0648,0.9058
TR-00332,-34.7258887711492,-58.224927149011,Provincia,3976.0,28.7,44,12,800,45,54.8,0.074,0,0.13,Bajo,0,Bajo,0.013,0.9456,0.0414,0.9456
TR-00333,-34.9491452684327,-58.6442795715709,Provincia,9830.0,34.5,245,14,400,112,142.3,0.387,1,0.241,Bajo,0,Bajo,0.0458,0.7498,0.2044,0.7498
TR-00334,-34.9572595311205,-58.1832091904179,Provincia,8010.0,33.6,301,14,800,138,183.2,0.249,1,0.294,Medio,1,Medio,0.0064,0.1824,0.8112,0.8112
TR-00335,-34.7514068853631,-58.4599826231961,Provincia,8436.0,32.1,290,15,400,85,100.8,0.274,0,0.216,Bajo,0,Bajo,0.0021,0.9052,0.0927,0.9052
TR-00336,-34.8063591424115,-58.205912154041,Provincia,12778.0,34.0,201,10,400,216,371.5,1.01,0,0.285,Medio,1,Medio,0.1978,0.3697,0.4325,0.4325
TR-00337,-34.912538204022,-58.5192561249622,Provincia,8606.0,42.6,335,10,250,135,222.2,0.966,0,0.444,Alto,1,Alto,0.938,0.0055,0.0565,0.938
TR-00338,-34.6767081771426,-58.2959069231271,Provincia,9174.0,36.4,402,13,800,137,279.9,0.38,0,0.292,Medio,1,Medio,0.058,0.1012,0.8408,0.8408
TR-00339,-34.9158206879977,-58.6983351931436,Provincia,15332.0,37.1,108,14,400,186,336.2,0.914,1,0.377,Medio,1,Medio,0.2791,0.1609,0.56,0.56
TR-00340,-34.8353874424148,-58.4382246989318,Provincia,6559.0,36.4,103,11,160,126,219.5,1.491,0,0.368,Alto,1,Alto,0.8946,0.0196,0.0857,0.8946
TR-00341,-34.8203539688021,-58.2680373517963,Provincia,4806.0,38.4,294,16,160,86,112.8,0.766,2,0.423,Medio,1,Medio,0.1008,0.1303,0.7689,0.7689
TR-00342,-34.7002197130083,-58.2744641360105,Provincia,8483.0,33.1,348,1,630,113,211.7,0.365,1,0.311,Medio,1,Medio,0.0218,0.0568,0.9214,0.9214
TR-00343,-34.8391557392358,-58.4953209456173,Provincia,8517.0,27.1,187,9,250,135,168.4,0.732,1,0.219,Bajo,0,Bajo,0.0428,0.7707,0.1865,0.7707
TR-00344,-34.7806226254687,-58.1772993344343,Provincia,5620.0,33.1,82,12,400,54,78.1,0.212,1,0.242,Bajo,0,Bajo,0.0145,0.9053,0.0802,0.9053
TR-00345,-35.0492624666975,-58.748118957357,Provincia,4103.0,36.3,247,8,500,37,52.7,0.115,1,0.326,Medio,1,Bajo,0.0612,0.5065,0.4323,0.5065
TR-00346,-34.9169327211671,-58.6981315578218,Provincia,14130.0,30.6,292,25,315,169,265.6,0.916,1,0.394,Medio,1,Medio,0.0704,0.2859,0.6437,0.6437
TR-00347,-34.7412740786627,-58.2685246940592,Provincia,8181.0,33.1,216,14,400,135,216.7,0.589,0,0.278,Bajo,0,Bajo,0.0113,0.8582,0.1306,0.8582
TR-00348,-34.9184172867543,-58.6901694370137,Provincia,5003.0,31.5,382,15,315,89,113.1,0.39,2,0.319,Medio,1,Medio,0.0688,0.0689,0.8623,0.8623
TR-00349,-34.8245589912574,-58.4073689574426,Provincia,9948.0,38.5,284,11,800,174,228.2,0.31,1,0.293,Bajo,0,Bajo,0.0528,0.555,0.3922,0.555
TR-00350,-34.7397681121864,-58.2808256512475,Provincia,6873.0,36.1,178,14,630,88,105.6,0.182,2,0.327,Medio,1,Bajo,0.0601,0.4738,0.4661,0.4738
TR-00351,-34.9420662080549,-58.5788026059142,Provincia,6441.0,35.8,187,5,315,120,202.1,0.697,0,0.312,Bajo,0,Bajo,0.0768,0.5998,0.3234,0.5998
TR-00352,-34.7896023538871,-58.3123548718597,Provincia,8887.0,35.7,249,13,400,132,241.5,0.656,1,0.354,Medio,1,Medio,0.0617,0.2649,0.6734,0.6734
TR-00353,-34.6829899048846,-58.3076987284049,Provincia,3324.0,33.6,209,7,400,45,88.7,0.241,3,0.198,Alto,1,Alto,0.8322,0.1275,0.0403,0.8322
TR-00354,-34.7171163440797,-58.2953193686179,Provincia,8258.0,34.3,100,12,1000,137,173.3,0.188,1,0.267,Bajo,0,Bajo,0.0097,0.7671,0.2232,0.7671
TR-00355,-34.9515715213721,-58.6373506798375,Provincia,12939.0,29.9,274,1,315,181,157.2,0.542,0,0.22,Bajo,0,Bajo,0.0603,0.766,0.1737,0.766
TR-00356,-34.827042738623,-58.3806304686834,Provincia,8599.0,26.7,189,6,400,116,126.0,0.342,0,0.108,Bajo,0,Bajo,0.0,0.9806,0.0194,0.9806
TR-00357,-34.7391053682988,-58.2812911733474,Provincia,6071.0,34.2,204,24,800,102,177.1,0.241,0,0.295,Bajo,0,Bajo,0.0002,0.8936,0.1062,0.8936
TR-00358,-34.7699665231149,-58.2452814484505,Provincia,5679.0,34.7,147,20,250,93,125.4,0.545,0,0.298,Bajo,0,Bajo,0.0118,0.7131,0.2751,0.7131
TR-00359,-34.8250033905249,-58.3728733051774,Provincia,5969.0,37.6,470,23,400,96,139.2,0.378,2,0.426,Medio,1,Medio,0.1077,0.032,0.8603,0.8603
TR-00360,-34.7111079893142,-58.231527975147,Provincia,6438.0,38.7,322,24,250,95,116.0,0.504,1,0.455,Medio,1,Medio,0.1087,0.0765,0.8147,0.8147
TR-00361,-34.8215384714584,-58.4176526499028,Provincia,6067.0,38.7,522,19,400,69,134.4,0.365,0,0.344,Medio,1,Medio,0.0148,0.0802,0.905,0.905
TR-00362,-34.6630352565234,-58.3239799578812,CABA,15842.0,31.3,230,11,315,219,307.8,1.062,0,0.278,Bajo,0,Medio,0.2176,0.3585,0.4239,0.4239
TR-00363,-34.8472232603333,-58.5009584289492,Provincia,2000.0,32.6,330,7,1000,33,44.9,0.049,1,0.231,Medio,1,Medio,0.0109,0.1091,0.88,0.88
TR-00364,-34.7387349837588,-58.2702600064602,Provincia,9786.0,35.2,276,22,400,120,165.6,0.45,2,0.352,Medio,1,Medio,0.0538,0.3391,0.607,0.607
TR-00365,-34.8410310978871,-58.4814629217601,Provincia,6061.0,41.8,181,14,250,95,196.5,0.854,1,0.441,Medio,1,Medio,0.1398,0.18,0.6802,0.6802
TR-00366,-34.8016314719125,-58.4119597918929,Provincia,8331.0,38.4,215,31,630,147,183.7,0.317,0,0.391,Medio,1,Bajo,0.0316,0.5981,0.3703,0.5981
TR-00367,-34.7531871398983,-58.3375497136081,Provincia,3819.0,37.3,322,11,630,79,112.4,0.194,1,0.367,Medio,1,Medio,0.0088,0.0641,0.9271,0.9271
TR-00368,-34.6878119879276,-58.2917287401922,Provincia,11186.0,32.5,147,28,500,149,184.5,0.401,0,0.279,Bajo,0,Bajo,0.0074,0.8296,0.163,0.8296
TR-00369,-34.9747598470624,-58.6901105650205,Provincia,10937.0,30.9,383,13,500,145,166.7,0.362,0,0.179,Medio,1,Medio,0.0033,0.083,0.9137,0.9137
TR-00370,-34.8367147833718,-58.2321164930102,Provincia,10079.0,36.2,266,23,315,165,272.8,0.941,0,0.326,Medio,1,Medio,0.3823,0.1251,0.4926,0.4926
TR-00371,-34.6398772413634,-58.334451971924,CABA,14540.0,31.0,187,26,500,142,256.2,0.557,1,0.297,Bajo,0,Bajo,0.02,0.7078,0.2722,0.7078
TR-00372,-34.8378178082215,-58.2263034208641,Provincia,9687.0,32.9,293,7,160,164,190.7,1.296,2,0.403,Medio,1,Medio,0.2366,0.0855,0.6778,0.6778
TR-00373,-34.7487710027396,-58.2631838836448,Provincia,8415.0,33.3,109,11,250,82,98.7,0.429,0,0.194,Bajo,0,Bajo,0.0093,0.9194,0.0713,0.9194
TR-00374,-34.8354494496441,-58.4906125363187,Provincia,2384.0,38.8,245,7,800,22,41.6,0.057,1,0.367,Medio,1,Bajo,0.054,0.4777,0.4684,0.4777
TR-00375,-34.7860228427644,-58.1829064621876,Provincia,7127.0,32.6,387,5,500,101,199.5,0.434,0,0.251,Medio,1,Medio,0.0153,0.1034,0.8813,0.8813
TR-00376,-34.8249809375426,-58.4152187776759,Provincia,8294.0,25.9,264,19,315,182,287.5,0.992,1,0.287,Bajo,0,Medio,0.1757,0.317,0.5073,0.5073
TR-00377,-34.8103716174584,-58.2103604914954,Provincia,8868.0,35.3,248,13,250,177,245.1,1.066,1,0.415,Medio,1,Medio,0.2714,0.075,0.6536,0.6536
TR-00378,-35.0224680965913,-58.7171277859301,Provincia,7732.0,31.5,264,14,800,139,221.7,0.301,1,0.256,Bajo,0,Bajo,0.0313,0.764,0.2047,0.764
TR-00379,-34.8435105049733,-58.4791758178902,Provincia,8074.0,33.8,96,18,250,134,177.8,0.773,1,0.4,Medio,1,Medio,0.0243,0.4374,0.5383,0.5383
TR-00380,-34.8374432223466,-58.2340337832642,Provincia,11621.0,33.4,405,1,315,121,159.0,0.549,0,0.23,Medio,1,Medio,0.1042,0.1045,0.7912,0.7912
TR-00381,-34.825080766314,-58.4220035561204,Provincia,10878.0,32.8,71,23,250,162,211.2,0.918,2,0.336,Medio,1,Medio,0.0743,0.363,0.5627,0.5627
TR-00382,-34.8369930250503,-58.2159542179349,Provincia,500.0,36.2,442,12,160,21,39.4,0.268,0,0.275,Medio,1,Medio,0.051,0.1004,0.8485,0.8485
TR-00383,-34.960734584393,-58.6895166815823,Provincia,6248.0,28.8,209,18,315,83,99.1,0.342,1,0.276,Bajo,0,Bajo,0.0439,0.8261,0.13,0.8261
TR-00384,-34.754997539342,-58.259397782233,Provincia,6706.0,32.0,302,18,1000,113,166.7,0.181,0,0.257,Medio,1,Medio,0.0066,0.1059,0.8874,0.8874
TR-00385,-34.7623785087673,-58.2747804978706,Provincia,1944.0,35.9,91,24,315,40,69.6,0.24,1,0.276,Bajo,0,Bajo,0.0359,0.6322,0.3319,0.6322
TR-00386,-34.718600818686,-58.2971139149049,Provincia,7483.0,31.7,346,13,400,140,194.3,0.528,0,0.228,Medio,1,Medio,0.0193,0.1218,0.859,0.859
TR-00387,-34.8014561764406,-58.409458316061,Provincia,10946.0,28.6,320,1,500,111,110.7,0.241,0,0.196,Medio,1,Medio,0.0153,0.0974,0.8874,0.8874
TR-00388,-34.8372129472922,-58.2153093407828,Provincia,3940.0,35.8,311,14,400,78,98.7,0.268,1,0.33,Medio,1,Medio,0.0122,0.1189,0.8689,0.8689
TR-00389,-34.7354455627348,-58.2785219497237,Provincia,8209.0,37.3,89,15,500,105,201.0,0.437,1,0.359,Medio,1,Medio,0.0289,0.3401,0.631,0.631
TR-00390,-34.9002806926582,-58.6011553112901,Provincia,4453.0,33.6,170,7,500,72,102.1,0.222,0,0.193,Bajo,0,Bajo,0.0242,0.8976,0.0782,0.8976
TR-00391,-34.8361887130258,-58.1866595520791,Provincia,5184.0,27.4,294,15,400,98,104.7,0.285,1,0.225,Bajo,0,Bajo,0.004,0.8188,0.1772,0.8188
TR-00392,-34.8261373767229,-58.2048785563817,Provincia,11632.0,36.0,400,11,500,140,221.2,0.481,0,0.327,Medio,1,Medio,0.0533,0.1133,0.8335,0.8335
TR-00393,-34.7419347292432,-58.4671510077997,Provincia,5572.0,28.4,158,5,630,99,120.7,0.208,1,0.133,Bajo,0,Bajo,0.004,0.9367,0.0592,0.9367
TR-00394,-34.814674678683,-58.499689331776,Provincia,8587.0,34.7,160,19,500,126,198.8,0.432,0,0.259,Bajo,0,Bajo,0.0055,0.8593,0.1352,0.8593
TR-00395,-34.6930344494943,-58.28156653359,Provincia,1586.0,30.9,285,10,630,31,33.5,0.058,1,0.172,Bajo,0,Bajo,0.0502,0.8517,0.098,0.8517
TR-00396,-34.7299466444731,-58.2158905970441,Provincia,12787.0,30.0,646,11,250,169,225.6,0.981,1,0.4,Medio,1,Medio,0.1873,0.0724,0.7403,0.7403
TR-00397,-34.8415543612313,-58.4896818712333,Provincia,9008.0,32.3,183,11,500,132,173.3,0.377,0,0.236,Bajo,0,Bajo,0.0039,0.9405,0.0557,0.9405
TR-00398,-34.6932355595687,-58.4525111031112,CABA,15302.0,33.9,96,23,500,192,222.2,0.483,1,0.328,Medio,1,Bajo,0.0165,0.6755,0.3081,0.6755
TR-00399,-34.9209531984533,-58.6746323516607,Provincia,8927.0,31.6,193,14,315,135,167.4,0.578,3,0.368,Alto,1,Alto,0.8376,0.1032,0.0592,0.8376
TR-00400,-34.6927214762302,-58.2957729729627,Provincia,2971.0,35.6,234,15,630,57,115.2,0.199,0,0.251,Bajo,0,Bajo,0.0301,0.861,0.1089,0.861
TR-00401,-34.8203431207407,-58.3711698050404,Provincia,10748.0,32.3,414,11,315,142,200.6,0.692,1,0.385,Medio,1,Medio,0.0329,0.0619,0.9051,0.9051
TR-00402,-34.8101365019629,-58.4164061942411,Provincia,6228.0,36.8,239,17,315,143,198.7,0.686,2,0.437,Medio,1,Medio,0.1609,0.1446,0.6945,0.6945
TR-00403,-34.8112901416693,-58.2924734697399,Provincia,6588.0,34.6,675,23,630,118,159.7,0.276,0,0.418,Medio,1,Medio,0.0184,0.101,0.8806,0.8806
TR-00404,-34.7047882737151,-58.4624427243428,CABA,13122.0,32.3,224,19,315,176,167.8,0.579,1,0.35,Medio,1,Bajo,0.0241,0.6128,0.3631,0.6128
TR-00405,-34.9274909362037,-58.2209676824506,Provincia,5458.0,30.9,432,19,400,98,136.1,0.37,0,0.262,Medio,1,Medio,0.008,0.1058,0.8862,0.8862
TR-00406,-34.8110322057301,-58.3474289432985,Provincia,9284.0,28.4,215,18,315,114,119.4,0.412,0,0.201,Bajo,0,Bajo,0.0227,0.9206,0.0567,0.9206
TR-00407,-34.8469637080486,-58.4739668473238,Provincia,7968.0,34.6,132,4,800,113,176.4,0.24,1,0.258,Bajo,0,Bajo,0.0111,0.8305,0.1584,0.8305
TR-00408,-34.768290086911,-58.2471384168161,Provincia,9155.0,32.6,239,8,400,130,133.6,0.363,0,0.175,Bajo,0,Bajo,0.0,0.9444,0.0556,0.9444
TR-00409,-34.721501009446,-58.4797008956116,Provincia,7174.0,26.1,313,13,500,83,102.4,0.223,1,0.143,Medio,1,Medio,0.0105,0.0823,0.9071,0.9071
TR-00410,-34.8350612381859,-58.4411215595152,Provincia,8740.0,32.0,170,9,630,143,201.7,0.348,1,0.185,Bajo,0,Bajo,0.003,0.8991,0.0979,0.8991
TR-00411,-34.906886470069,-58.6206187296934,Provincia,5943.0,30.8,401,7,500,87,116.8,0.254,2,0.284,Medio,1,Medio,0.047,0.0915,0.8615,0.8615
TR-00412,-34.7783319063315,-58.2352088239809,Provincia,13889.0,38.7,198,1,800,185,221.7,0.301,0,0.249,Bajo,0,Bajo,0.0622,0.5774,0.3604,0.5774
TR-00413,-34.9311890130843,-58.5622364476796,Provincia,2496.0,28.3,147,5,630,45,54.9,0.095,0,0.051,Bajo,0,Bajo,0.0219,0.8995,0.0787,0.8995
TR-00414,-34.8096641074669,-58.3444506621953,Provincia,10983.0,29.1,616,12,400,234,237.9,0.646,1,0.336,Medio,1,Medio,0.0278,0.0826,0.8897,0.8897
TR-00415,-34.8350874178888,-58.4298910699241,Provincia,11304.0,37.3,166,14,800,147,244.5,0.332,0,0.271,Bajo,0,Bajo,0.0432,0.6904,0.2664,0.6904
TR-00416,-34.8183947387783,-58.2784611395603,Provincia,4644.0,38.0,195,8,400,33,38.9,0.106,1,0.328,Medio,1,Bajo,0.0472,0.6548,0.298,0.6548
TR-00417,-34.9029134656825,-58.6087813460408,Provincia,13888.0,31.3,336,15,160,154,258.9,1.759,3,0.572,Alto,1,Medio,0.4184,0.0354,0.5462,0.5462
TR-00418,-34.8084333213413,-58.4131471930851,Provincia,10186.0,31.7,211,11,315,169,208.3,0.719,1,0.298,Bajo,0,Bajo,0.0134,0.7724,0.2142,0.7724
TR-00419,-34.8639031536535,-58.4237147441305,Provincia,10113.0,35.7,150,22,500,183,277.1,0.602,1,0.314,Bajo,0,Bajo,0.0683,0.5908,0.3408,0.5908
TR-00420,-34.9539394942001,-58.6953446381278,Provincia,7284.0,26.3,186,13,250,99,155.0,0.674,0,0.191,Bajo,0,Bajo,0.0603,0.8307,0.109,0.8307
TR-00421,-34.8282905062753,-58.4027048065066,Provincia,6548.0,27.7,538,19,400,139,160.6,0.436,1,0.292,Medio,1,Medio,0.019,0.0692,0.9119,0.9119
TR-00422,-34.9106689825535,-58.7190107669103,Provincia,6572.0,32.8,318,15,315,126,178.1,0.615,1,0.311,Medio,1,Medio,0.0496,0.0701,0.8803,0.8803
TR-00423,-34.8434605925515,-58.4757875945122,Provincia,8372.0,38.7,347,4,400,124,169.8,0.461,0,0.288,Medio,1,Medio,0.0832,0.0946,0.8223,0.8223
TR-00424,-35.0257489012849,-58.7208520500512,Provincia,11404.0,32.3,279,13,160,158,154.2,1.048,1,0.329,Medio,1,Medio,0.0924,0.1042,0.8034,0.8034
TR-00425,-34.9318311832911,-58.6584451252618,Provincia,7744.0,34.0,300,5,630,126,190.3,0.328,1,0.266,Medio,1,Medio,0.0201,0.1847,0.7953,0.7953
TR-00426,-34.6877175154375,-58.293788693084,Provincia,4466.0,37.3,204,13,315,104,207.1,0.715,2,0.424,Medio,1,Medio,0.0927,0.118,0.7894,0.7894
TR-00427,-34.7536572318854,-58.1856342382015,Provincia,9673.0,40.4,263,9,250,154,222.1,0.966,0,0.409,Alto,1,Alto,0.9591,0.0083,0.0327,0.9591
TR-00428,-34.7605055798802,-58.2762543317228,Provincia,9963.0,31.9,85,17,400,131,178.3,0.485,0,0.274,Bajo,0,Bajo,0.005,0.9278,0.0672,0.9278
TR-00429,-35.0330471791069,-58.7292715591996,Provincia,9164.0,33.6,376,5,400,134,185.7,0.505,1,0.326,Medio,1,Medio,0.0291,0.0602,0.9107,0.9107
TR-00430,-34.6921511266898,-58.3092080493741,Provincia,9436.0,39.5,203,14,500,191,332.9,0.724,1,0.406,Medio,1,Medio,0.135,0.1704,0.6947,0.6947
TR-00431,-34.8062274705039,-58.408811061179,Provincia,6387.0,28.8,138,18,400,111,133.7,0.363,0,0.16,Bajo,0,Bajo,0.0001,0.9632,0.0367,0.9632
TR-00432,-34.8332248136884,-58.4091793421935,Provincia,4413.0,37.0,270,20,160,103,120.0,0.815,1,0.363,Medio,1,Medio,0.0576,0.1897,0.7527,0.7527
TR-00433,-34.7726363411971,-58.4731484885297,Provincia,4595.0,30.4,226,9,630,97,124.9,0.215,0,0.15,Bajo,0,Bajo,0.0001,0.9734,0.0266,0.9734
TR-00434,-34.8983322314008,-58.4512751190147,Provincia,2294.0,34.0,370,14,400,63,131.8,0.358,0,0.254,Medio,1,Medio,0.0117,0.0881,0.9002,0.9002
TR-00435,-34.7467803454801,-58.4635237502199,Provincia,7911.0,32.9,242,15,160,126,241.7,1.642,1,0.325,Medio,1,Medio,0.1769,0.0906,0.7325,0.7325
TR-00436,-34.8240799315289,-58.371151655305,Provincia,6950.0,30.6,184,25,630,134,143.8,0.248,1,0.214,Bajo,0,Bajo,0.0055,0.8946,0.1,0.8946
TR-00437,-34.935301556973,-58.577093564397,Provincia,5880.0,30.6,244,4,500,117,127.3,0.277,0,0.226,Bajo,0,Bajo,0.011,0.9438,0.0452,0.9438
TR-00438,-34.7750332702316,-58.1708843639304,Provincia,500.0,34.6,454,8,500,42,55.0,0.12,0,0.275,Medio,1,Medio,0.0063,0.1196,0.8741,0.8741
TR-00439,-34.6785929134788,-58.3117894943857,Provincia,3458.0,36.9,375,34,400,53,78.5,0.213,1,0.382,Medio,1,Medio,0.0259,0.057,0.9171,0.9171
TR-00440,-34.8282079596458,-58.4917322622935,Provincia,10563.0,33.3,318,12,400,164,269.0,0.731,0,0.307,Medio,1,Medio,0.0151,0.0912,0.8937,0.8937
TR-00441,-34.8060957475994,-58.4083905376557,Provincia,5206.0,33.9,383,1,400,89,139.7,0.38,0,0.178,Medio,1,Medio,0.0132,0.0782,0.9086,0.9086
TR-00442,-34.8025403531237,-58.4099553607816,Provincia,8282.0,35.5,329,10,160,120,211.0,1.433,2,0.479,Medio,1,Medio,0.3204,0.0139,0.6656,0.6656
TR-00443,-34.8132623715803,-58.2001019192547,Provincia,3028.0,30.6,160,1,315,132,147.4,0.509,0,0.213,Bajo,0,Bajo,0.0218,0.8787,0.0995,0.8787
TR-00444,-34.7163254155756,-58.296895691211,Provincia,11516.0,36.1,348,16,1000,128,201.8,0.219,1,0.325,Medio,1,Medio,0.0215,0.0421,0.9364,0.9364
TR-00445,-34.8335408862396,-58.4267844386171,Provincia,6768.0,36.3,403,20,500,134,174.2,0.379,1,0.31,Medio,1,Medio,0.0274,0.0504,0.9222,0.9222
TR-00446,-34.8179491749836,-58.4989446462149,Provincia,8070.0,42.0,413,8,400,104,204.0,0.554,2,0.458,Medio,1,Medio,0.1535,0.0727,0.7738,0.7738
TR-00447,-34.810489653044,-58.417124094443,Provincia,14177.0,32.5,144,11,315,201,267.5,0.923,0,0.307,Bajo,0,Bajo,0.0281,0.668,0.3039,0.668
TR-00448,-34.688618237892,-58.2930109476625,Provincia,11749.0,32.2,195,20,500,233,367.9,0.8,0,0.29,Bajo,0,Bajo,0.0407,0.776,0.1833,0.776
TR-00449,-34.9134928293428,-58.4825146877879,Provincia,6280.0,36.2,182,2,315,80,125.3,0.432,0,0.191,Bajo,0,Bajo,0.0705,0.8021,0.1274,0.8021
TR-00450,-34.7493456079388,-58.2627733369378,Provincia,5420.0,36.3,214,5,250,75,107.7,0.468,0,0.344,Medio,1,Bajo,0.0404,0.5076,0.4519,0.5076
TR-00451,-34.8272917390859,-58.3770477449827,Provincia,6223.0,32.0,303,12,250,103,164.5,0.715,2,0.302,Medio,1,Medio,0.1582,0.0897,0.7522,0.7522
TR-00452,-34.7755239155264,-58.2281115186534,Provincia,8730.0,32.4,267,9,500,112,109.4,0.238,0,0.2,Bajo,0,Bajo,0.003,0.9606,0.0364,0.9606
TR-00453,-34.8226040438507,-58.3753033518863,Provincia,6884.0,35.4,267,12,500,133,195.2,0.424,1,0.277,Bajo,0,Bajo,0.0137,0.6096,0.3767,0.6096
TR-00454,-34.7381161705205,-58.2778047303319,Provincia,6014.0,31.1,125,5,160,87,112.7,0.766,0,0.169,Bajo,0,Bajo,0.0363,0.7268,0.2369,0.7268
TR-00455,-34.7837149151853,-58.4939820732197,Provincia,11602.0,32.4,192,16,250,183,198.0,0.861,1,0.3,Bajo,0,Bajo,0.0447,0.5242,0.4311,0.5242
TR-00456,-34.6807057666453,-58.2905760784074,Provincia,6857.0,34.0,427,13,500,77,112.9,0.245,0,0.298,Medio,1,Medio,0.0128,0.099,0.8882,0.8882
